Marker,x,y,z,t (s),Frame
10.0,759.9995227488407,440.9997226409626,1.7314374090114066,0.0,1.0
20.0,-0.7095318090422668,-0.9342557395934432,2.119914769824902,0.0,1.0
30.0,-0.7262645678904612,-1.258836000292624,2.2315677463918173,0.0,1.0
40.0,-0.44959799223982444,-1.2477097950190934,2.182646305921994,0.0,1.0
0.0,-0.4097719338836176,-0.8280703230630986,1.731437158784521,0.03333333333333333,2.0
10.0,759.9995227569275,440.99972264566304,1.731437409007166,0.03333333333333333,2.0
20.0,-0.7095318090422668,-0.9342557395934432,2.119914769824902,0.03333333333333333,2.0
30.0,-0.7262645678904612,-1.258836000292624,2.2315677463918173,0.03333333333333333,2.0
40.0,-0.44959799223982444,-1.2477097950190934,2.182646305921994,0.03333333333333333,2.0
0.0,-0.4097719338836176,-0.8280703230630986,1.731437158784521,0.06666666666666667,3.0
10.0,759.9995227719027,440.9997226543669,1.7314374089993136,0.06666666666666667,3.0
20.0,-0.7095318090422668,-0.9342557395934432,2.119914769824902,0.06666666666666667,3.0
30.0,-0.7262645678904612,-1.258836000292624,2.2315677463918173,0.06666666666666667,3.0
40.0,-0.44959799223982444,-1.2477097950190934,2.182646305921994,0.06666666666666667,3.0
0.0,-0.4097719338836176,-0.8280703230630986,1.731437158784521,0.1,4.0
10.0,759.999522797659,440.9997226693358,1.7314374089858091,0.1,4.0
20.0,-0.7095318090422668,-0.9342557395934432,2.119914769824902,0.1,4.0
30.0,-0.7262645678904612,-1.258836000292624,2.2315677463918173,0.1,4.0
40.0,-0.44959799223982444,-1.2477097950190934,2.182646305921994,0.1,4.0
0.0,-0.41040207438614645,-0.8294787748680587,1.734116048567414,0.13333333333333333,5.0
10.0,760.0886995281878,440.84626310341343,1.7335904014333394,0.13333333333333333,5.0
20.0,-0.7095318090422668,-0.9342557395934432,2.119914769824902,0.13333333333333333,5.0
30.0,-0.7262645678904612,-1.258836000292624,2.2315677463918173,0.13333333333333333,5.0
40.0,-0.44959799223982444,-1.2477097950190934,2.182646305921994,0.13333333333333333,5.0
